Subject,Age,Gender
460,60.0,F
461,60.0,F
462,75.0,F
463,70.0,F
490,70.0,F
491,75.0,F
492,69.0,F
493,67.0,M
494,66.0,M
495,60.0,F
496,62.0,F
497,72.0,M
498,76.0,F
499,82.0,M
50,63.0,M
500,63.0,M
501,67.0,F
502,63.0,F
503,65.0,M
504,68.0,M
505,62.0,F
506,69.0,F
507,71.0,M
508,60.0,F
51,25.0,F
510,32.0,F
511,64.0,F
512,64.0,M
515,62.0,F
516,60.0,F
517,36.0,M
518,75.0,F
519,57.0,M
52,33.0,F
521,70.0,F
522,28.0,F
523,63.0,F
524,33.0,F
525,41.0,M
526,54.0,F
527,53.0,M
53,53.0,M
531,75.0,M
532,36.0,M
533,73.0,M
534,69.0,M
535,65.0,F
536,58.0,F
537,67.0,F
538,81.0,F
539,78.0,M
54,41.0,F
541,36.0,F
542,44.0,F
543,70.0,M
544,58.0,F
546,60.0,F
547,33.0,M
548,66.0,F
549,25.0,F
55,49.0,F
550,59.0,F
551,70.0,F
77,36.0,F
78,28.0,F
79,52.0,F
80,21.0,F
83,30.0,M
84,38.0,F
85,31.0,F
86,30.0,M
87,25.0,F
89,49.0,F
90,41.0,M
91,28.0,M
92,33.0,M
93,26.0,M
94,24.0,M
95,24.0,F
96,26.0,M
97,35.0,F
98,29.0,M
99,51.0,M
376,72.0,F
377,72.0,F
378,38.0,F
379,66.0,F
38,21.0,M
380,66.0,F
381,59.0,F
382,65.0,F
383,74.0,F
384,74.0,F
385,64.0,F
386,52.0,F
387,46.0,F
388,33.0,M
389,58.0,F
39,23.0,M
390,41.0,F
391,52.0,M
392,62.0,F
393,60.0,F
394,53.0,M
395,45.0,M
396,53.0,F
397,51.0,F
398,51.0,F
399,73.0,F
422,37.0,M
423,39.0,M
424,46.0,M
425,19.0,F
426,23.0,F
427,34.0,M
428,55.0,F
429,55.0,F
43,22.0,F
430,72.0,F
431,58.0,F
432,57.0,M
433,73.0,F
434,67.0,F
436,28.0,M
437,55.0,F
438,63.0,M
439,43.0,F
44,44.0,F
440,48.0,M
441,48.0,F
442,61.0,M
465,69.0,M
467,66.0,F
468,67.0,M
469,32.0,M
470,35.0,M
473,68.0,M
474,34.0,F
475,32.0,F
476,78.0,F
477,46.0,F
478,49.0,M
479,60.0,F
48,50.0,M
480,60.0,F
481,65.0,M
482,72.0,F
483,63.0,F
484,66.0,M
485,68.0,F
486,63.0,F
487,66.0,M
488,69.0,F
489,69.0,F
553,28.0,M
554,70.0,M
555,65.0,F
556,55.0,M
558,66.0,F
559,67.0,F
56,25.0,M
560,63.0,M
561,31.0,F
562,42.0,F
563,28.0,F
565,63.0,M
566,42.0,F
567,28.0,F
568,33.0,F
569,56.0,M
57,28.0,F
571,38.0,F
572,41.0,F
573,35.0,F
574,50.0,F
575,57.0,F
576,67.0,F
577,64.0,F
578,57.0,M
579,41.0,M
58,29.0,M
582,29.0,M
584,41.0,M
585,28.0,M
586,34.0,M
587,33.0,M
588,45.0,M
634,34.0,M
635,25.0,M
636,43.0,M
639,86.0,M
64,20.0,M
640,80.0,M
641,68.0,M
642,57.0,M
644,56.0,M
646,71.0,F
648,47.0,M
65,23.0,F
651,50.0,M
652,42.0,M
653,46.0,M
66,46.0,F
662,41.0,M
67,24.0,M
68,24.0,F
69,26.0,F
70,20.0,F
71,37.0,F
72,68.0,M
73,46.0,F
74,22.0,F
75,35.0,F
S44,34.0,F
S69,21.0,F
S01,24.0,F
S03,22.0,M
S04,20.0,M
S05,23.0,M
S06,19.0,F
S07,26.0,F
S08,27.0,F
S09,21.0,M
S11,47.0,M
S12,23.0,M
S15,22.0,F
S18,20.0,M
S19,18.0,M
S20,25.0,F
S23,24.0,F
S24,18.0,F
S25,24.0,M
S26,24.0,F
S27,30.0,F
S30,34.0,F
S31,22.0,M
S32,26.0,F
S33,21.0,M
S35,24.0,M
S36,25.0,M
S37,22.0,M
S39,22.0,M
S40,24.0,M
S42,26.0,M
S43,49.0,F
S45,21.0,M
S46,24.0,M
S47,19.0,F
S48,21.0,F
S51,30.0,F
S52,22.0,F
S53,18.0,F
S54,20.0,F
S55,21.0,M
S56,23.0,M
S57,20.0,F
S58,34.0,M
S59,30.0,M
S61,23.0,F
S64,21.0,F
S65,19.0,F
S66,26.0,F
S67,44.0,M
S68,20.0,F
S70,25.0,F
S71,21.0,F
S72,37.0,F
S73,19.0,M
S76,28.0,M
S77,23.0,M
S78,29.0,M
S79,43.0,M
S80,19.0,M
S83,20.0,F
S84,23.0,F
S85,21.0,M
S86,31.0,F
S89,29.0,F
S90,21.0,F
S93,36.0,F
S94,41.0,F
sub13959,31.39,M
sub16960,13.58,M
sub20317,15.92,M
sub28433,21.46,M
sub30421,17.58,M
sub34781,19.88,M
sub38614,14.91,M
sub45660,16.67,M
sub46727,13.83,F
sub47191,27.75,M
sub47659,33.13,M
sub51248,40.98,M
sub56686,20.81,F
sub70106,17.42,M
sub75922,18.0,M
sub82334,14.92,M
sub86367,15.0,M
sub87745,14.17,M
sub00306,68.0,F
sub05580,77.0,F
sub07921,19.0,F
sub11043,21.0,F
sub15846,70.0,F
sub18546,20.0,M
sub26099,73.0,M
sub30250,19.0,F
sub33437,19.0,F
sub39635,19.0,F
sub39923,70.0,M
sub42616,21.0,F
sub43409,71.0,M
sub45569,63.0,F
sub50859,79.0,F
sub53269,21.0,M
sub53959,20.0,M
sub57025,68.0,F
sub57196,77.0,F
sub59573,19.0,F
sub64831,19.0,M
sub66506,78.0,F
sub72215,20.0,M
sub72416,80.0,M
sub73168,78.0,M
sub73812,28.0,M
sub78151,23.0,M
sub85257,26.0,M
sub90127,77.0,M
sub90950,66.0,M
sub97518,21.0,F
sub98007,66.0,F
sub99692,66.0,F
sub00354,28.0,F
sub00368,28.0,F
sub06870,57.0,M
sub07145,22.0,F
sub15817,31.0,M
sub16563,34.0,M
sub18219,33.0,F
sub18702,23.0,M
sub24972,24.0,F
sub26938,31.0,M
sub32093,27.0,F
sub49816,27.0,M
sub52783,22.0,F
sub53122,28.0,M
sub55652,25.0,F
sub58250,54.0,F
sub59806,23.0,F
sub60499,29.0,M
sub61442,29.0,F
sub61902,23.0,M
sub71337,27.0,M
sub72096,23.0,M
sub72971,30.0,M
sub75153,32.0,F
sub76280,23.0,F
sub81596,53.0,M
sub86323,31.0,F
sub91049,48.0,F
sub17017,22.0,F
sub19738,27.0,F
sub23750,37.0,M
sub23927,21.0,M
sub29158,20.0,F
sub30072,26.0,F
sub31837,34.0,F
sub37548,30.0,M
sub52358,40.0,F
sub54257,29.0,F
sub54329,30.0,F
sub73823,24.0,F
sub76160,34.0,M
sub77572,27.0,F
sub80221,26.0,M
sub81887,32.0,M
sub85922,30.0,M
sub86414,23.0,F
sub90658,32.0,F
sub90893,39.0,F
sub91622,33.0,M
sub94042,27.0,F
sub96234,30.0,F
sub00440,24.0,F
sub01018,18.0,M
sub01244,25.0,F
sub02403,20.0,M
sub04050,21.0,F
sub04191,24.0,M
sub05267,19.0,F
sub06880,18.0,M
sub06899,19.0,F
sub07144,20.0,M
sub07716,23.0,M
sub07717,22.0,F
sub08001,21.0,F
sub08251,24.0,M
sub08455,25.0,M
sub08992,20.0,F
sub10186,19.0,M
sub10277,22.0,F
sub10869,23.0,F
sub10973,21.0,M
sub11072,25.0,F
sub11344,21.0,F
sub12220,22.0,F
sub14238,20.0,M
sub15441,19.0,F
sub16091,23.0,F
sub16943,26.0,F
sub17093,23.0,F
sub17159,19.0,M
sub17315,20.0,F
sub17586,19.0,M
sub17603,21.0,M
sub17642,24.0,M
sub17688,19.0,F
sub18758,20.0,M
sub18960,23.0,M
sub19642,21.0,F
sub19974,21.0,F
sub20127,21.0,F
sub20246,20.0,F
sub20765,20.0,M
sub20948,23.0,F
sub21115,21.0,F
sub22201,19.0,M
sub22595,21.0,F
sub22661,21.0,F
sub22715,19.0,F
sub22890,18.0,M
sub26713,21.0,F
sub28206,22.0,M
sub28403,20.0,M
sub28698,18.0,F
sub28792,20.0,M
sub28907,23.0,M
sub28965,19.0,F
sub29590,21.0,F
sub29785,22.0,F
sub30272,23.0,F
sub30310,22.0,F
sub30556,22.0,M
sub30616,21.0,M
sub30988,23.0,F
sub31058,20.0,M
sub31729,22.0,F
sub32517,21.0,M
sub32587,20.0,F
sub33747,26.0,F
sub33943,20.0,F
sub33991,20.0,F
sub34895,22.0,F
sub34943,21.0,F
sub35309,22.0,M
sub08816,21.0,F
sub18326,21.0,F
sub28801,22.0,F
sub35776,24.0,M
sub48501,23.0,F
sub56659,23.0,F
sub67435,20.0,F
sub80569,22.0,M
sub89088,19.0,F
sub35806,22.0,M
sub36580,23.0,M
sub36942,23.0,F
sub37602,21.0,F
sub38602,20.0,F
sub39725,20.0,M
sub40037,20.0,F
sub40427,21.0,F
sub41170,20.0,F
sub41621,19.0,F
sub42512,20.0,M
sub42555,18.0,F
sub42843,20.0,F
sub43290,20.0,M
sub44573,19.0,F
sub45552,18.0,F
sub46058,25.0,M
sub46259,19.0,M
sub46541,21.0,M
sub48563,20.0,F
sub48676,21.0,M
sub49782,19.0,F
sub50498,21.0,F
sub50873,22.0,F
sub50972,24.0,F
sub50985,19.0,F
sub51015,20.0,F
sub51586,22.0,M
sub52044,22.0,F
sub52259,21.0,M
sub53572,20.0,M
sub53998,20.0,F
sub54890,21.0,F
sub55301,23.0,F
sub55541,25.0,M
sub55736,19.0,M
sub55856,22.0,F
sub56136,22.0,M
sub56703,21.0,M
sub56757,21.0,M
sub58029,26.0,F
sub58332,21.0,M
sub58614,19.0,M
sub59347,21.0,M
sub59448,20.0,M
sub61961,21.0,F
sub62083,20.0,F
sub62438,21.0,M
sub62843,19.0,F
sub62966,19.0,M
sub64923,21.0,F
sub65467,21.0,M
sub65659,21.0,M
sub66158,21.0,F
sub66528,22.0,F
sub66781,21.0,M
sub66889,23.0,M
sub67844,20.0,F
sub68012,24.0,F
sub68597,19.0,F
sub69518,21.0,F
sub69696,18.0,M
sub71693,23.0,M
sub72654,22.0,F
sub72678,20.0,F
sub73098,20.0,F
sub73245,24.0,F
sub73279,20.0,F
sub73421,19.0,F
sub74386,20.0,F
sub74587,20.0,F
sub75878,24.0,M
sub76377,24.0,M
sub77440,24.0,F
sub80163,24.0,F
sub80551,20.0,F
sub80927,19.0,F
sub81062,22.0,F
sub81074,20.0,F
sub82352,24.0,F
sub82426,23.0,F
sub82714,20.0,F
sub82826,20.0,F
sub82980,20.0,M
sub83430,18.0,F
sub83624,20.0,F
sub83728,21.0,M
sub85030,22.0,M
sub85543,20.0,F
sub85818,23.0,F
sub86114,22.0,F
sub87089,24.0,F
sub87776,21.0,F
sub88306,19.0,F
sub88947,21.0,F
sub89238,22.0,F
sub89592,21.0,M
sub89742,21.0,M
sub89941,18.0,M
sub91145,21.0,M
sub91399,21.0,M
sub91952,22.0,F
sub92430,21.0,M
sub92490,20.0,M
sub92544,22.0,M
sub92602,26.0,M
sub92799,23.0,F
sub92859,21.0,F
sub93689,19.0,F
sub93856,20.0,F
sub94536,20.0,F
sub95575,21.0,F
sub95755,26.0,F
sub96163,22.0,M
sub97442,23.0,F
sub98353,21.0,M
sub98617,20.0,F
sub06204,34.0,M
sub06716,23.0,F
sub12855,33.0,M
sub18913,29.0,F
sub23506,27.0,F
sub27536,25.0,M
sub27711,26.0,F
sub27797,31.0,M
sub28092,26.0,F
sub33248,28.0,F
sub38279,29.0,M
sub40143,34.0,M
sub47066,26.0,F
sub47791,31.0,M
sub49134,44.0,M
sub54976,37.0,M
sub57028,37.0,F
sub67166,32.0,F
sub75506,28.0,M
sub77281,24.0,F
sub85681,26.0,F
sub86111,24.0,F
sub91116,39.0,M
sub91966,27.0,F
sub95068,26.0,M
sub97162,28.0,M
sub00156,20.0,F
sub00294,20.0,F
sub01361,19.0,M
sub02591,22.0,F
sub02953,23.0,F
sub04187,18.0,F
sub04270,20.0,M
sub04491,25.0,F
sub04665,19.0,F
sub05306,19.0,F
sub05453,20.0,F
sub06037,21.0,F
sub06272,22.0,M
sub06987,21.0,M
sub07413,20.0,M
sub07902,23.0,F
sub08204,26.0,F
sub08588,21.0,F
sub08723,22.0,F
sub08947,19.0,F
sub09015,25.0,F
sub09397,30.0,M
sub09633,30.0,F
sub10268,23.0,M
sub10619,19.0,M
sub11388,20.0,F
sub12346,18.0,M
sub13093,19.0,F
sub13187,23.0,M
sub13216,18.0,F
sub13902,19.0,M
sub14183,21.0,F
sub14194,20.0,M
sub14278,21.0,F
sub15258,23.0,M
sub15432,23.0,M
sub15905,20.0,M
sub16122,18.0,F
sub16390,23.0,F
sub16846,29.0,M
sub17584,20.0,F
sub17737,26.0,F
sub17772,24.0,M
sub18295,21.0,M
sub18449,19.0,M
sub19717,20.0,M
sub20389,22.0,F
sub20543,20.0,F
sub20563,23.0,F
sub21755,21.0,M
sub23780,21.0,M
sub23869,22.0,F
sub24670,23.0,F
sub25044,19.0,F
sub25058,22.0,M
sub25099,26.0,F
sub26348,23.0,F
sub27065,21.0,M
sub27230,22.0,M
sub27613,18.0,F
sub27796,22.0,F
sub29044,21.0,F
sub29425,22.0,M
sub29800,24.0,F
sub31522,21.0,F
sub34586,21.0,M
sub34741,27.0,F
sub35430,20.0,M
sub35512,19.0,F
sub37374,21.0,F
sub39053,22.0,M
sub39065,19.0,F
sub07798,22.0,M
sub15172,20.0,F
sub24757,21.0,F
sub39142,25.0,M
sub50454,20.0,F
sub58470,20.0,M
sub65682,21.0,M
sub78552,19.0,F
sub88853,29.0,F
sub39737,23.0,M
sub40635,18.0,M
sub41567,20.0,F
sub41773,21.0,M
sub41814,19.0,F
sub42146,24.0,F
sub42253,20.0,F
sub43304,23.0,F
sub43358,21.0,F
sub45344,21.0,M
sub45354,19.0,F
sub45604,23.0,F
sub47162,22.0,F
sub47231,21.0,F
sub47278,20.0,M
sub47498,19.0,M
sub49259,19.0,F
sub49998,20.0,F
sub50272,18.0,F
sub50953,23.0,F
sub51050,23.0,F
sub51172,18.0,F
sub51512,23.0,M
sub51671,22.0,F
sub52036,20.0,F
sub52300,23.0,F
sub52442,25.0,F
sub53059,22.0,F
sub53107,19.0,F
sub53193,20.0,M
sub53296,22.0,F
sub53615,19.0,M
sub54846,20.0,M
sub55660,20.0,F
sub55874,19.0,F
sub57221,21.0,M
sub58360,23.0,F
sub58682,22.0,F
sub58874,20.0,M
sub59434,21.0,M
sub59729,23.0,M
sub60578,23.0,F
sub60797,19.0,F
sub61185,26.0,F
sub61209,20.0,F
sub61436,22.0,F
sub61753,20.0,F
sub62383,22.0,F
sub62424,20.0,F
sub62732,18.0,F
sub62908,26.0,F
sub63412,19.0,F
sub63661,23.0,F
sub64308,20.0,F
sub64985,18.0,M
sub65373,18.0,F
sub66351,18.0,F
sub67117,20.0,F
sub68101,21.0,F
sub68425,20.0,F
sub69287,18.0,F
sub69315,21.0,M
sub69397,20.0,M
sub71849,21.0,M
sub72068,18.0,F
sub73317,19.0,M
sub73399,18.0,F
sub73477,22.0,F
sub76631,19.0,M
sub76745,20.0,M
sub77337,19.0,M
sub77435,19.0,F
sub77598,22.0,M
sub77989,22.0,F
sub78547,19.0,F
sub78614,21.0,F
sub80557,22.0,M
sub81289,19.0,F
sub81524,24.0,F
sub81562,21.0,M
sub82113,19.0,M
sub82213,20.0,M
sub82435,20.0,M
sub83409,18.0,F
sub83683,22.0,F
sub84064,21.0,F
sub84256,20.0,F
sub84504,18.0,M
sub84845,23.0,M
sub86115,20.0,M
sub86637,21.0,F
sub87846,21.0,F
sub88445,20.0,F
sub88464,20.0,F
sub89107,20.0,F
sub89435,18.0,F
sub89894,18.0,M
sub90059,19.0,M
sub90674,20.0,F
sub90681,22.0,M
sub90699,26.0,F
sub92288,23.0,M
sub92393,21.0,M
sub92440,24.0,M
sub93269,22.0,M
sub93488,20.0,M
sub93609,20.0,F
sub94304,22.0,M
sub95187,20.0,F
sub95644,20.0,F
sub95959,21.0,F
sub98528,19.0,F
sub98624,21.0,F
sub99085,20.0,F
sub99330,18.0,M
sub99462,19.0,F
sub20718,39.0,M
sub44077,45.0,M
sub66085,30.0,M
sub00448,25.0,M
sub00623,48.0,F
sub02382,26.0,M
sub02503,70.0,M
sub05208,19.0,F
sub07286,35.0,F
sub08255,53.0,M
sub08806,32.0,M
sub09539,23.0,F
sub10582,20.0,F
sub13384,19.0,F
sub13478,50.0,M
sub13789,60.0,F
sub16607,35.0,F
sub19395,59.0,F
sub22674,70.0,M
sub26183,25.0,F
sub26796,33.0,M
sub28422,42.0,M
sub28795,22.0,M
sub28808,19.0,M
sub29353,61.0,M
sub30003,48.0,M
sub30623,51.0,M
sub32549,62.0,F
sub33677,32.0,M
sub34252,62.0,F
sub35262,20.0,M
sub35370,59.0,F
sub37140,69.0,F
sub40217,54.0,M
sub40482,60.0,M
sub41546,20.0,F
sub41764,27.0,F
sub44395,56.0,M
sub47658,42.0,M
sub47753,25.0,M
sub48210,73.0,M
sub48830,79.0,F
sub49215,44.0,M
sub51677,37.0,M
sub53282,49.0,F
sub53801,66.0,M
sub54887,31.0,F
sub55656,21.0,F
sub57738,47.0,M
sub59589,32.0,F
sub59739,56.0,F
sub59914,48.0,M
sub62937,46.0,F
sub63280,22.0,F
sub65921,20.0,F
sub66794,20.0,F
sub68850,70.0,M
sub70595,44.0,F
sub71932,21.0,M
sub72135,43.0,F
sub73490,68.0,F
sub76325,57.0,F
sub76678,50.0,F
sub77431,48.0,F
sub78297,68.0,M
sub82221,56.0,M
sub82228,19.0,F
sub82754,30.0,M
sub85442,43.0,M
sub86203,78.0,F
sub86516,47.0,M
sub86665,23.0,F
sub87217,78.0,F
sub89049,35.0,M
sub92028,56.0,F
sub93262,85.0,F
sub93975,67.0,F
sub94103,59.0,F
sub94169,43.0,M
sub94945,23.0,F
sub95400,49.0,F
sub95971,42.0,M
sub97008,25.0,F
sub98317,21.0,F
sub98802,56.0,M
sub01553,20.0,M
sub08518,21.0,M
sub09796,23.0,M
sub10481,24.0,M
sub12255,25.0,M
sub19281,20.0,M
sub28473,23.0,M
sub38454,21.0,M
sub52853,27.0,M
sub56299,21.0,M
sub58194,27.0,M
sub99856,24.0,M
sub01787,20.0,F
sub04484,22.0,F
sub13537,21.0,M
sub18456,21.0,M
sub30943,18.0,M
sub36743,25.0,M
sub39335,22.0,F
sub40907,20.0,F
sub52922,20.0,M
sub57187,26.0,F
sub64642,21.0,F
sub66131,19.0,M
sub68050,25.0,M
sub72247,20.0,M
sub86034,21.0,M
sub87320,22.0,F
sub92061,28.0,M
sub93194,20.0,M
sub97690,21.0,F
sub45019,44.0,F
sub00917,54.0,F
sub09931,48.0,M
sub14692,53.0,F
sub16666,47.0,F
sub17004,57.0,M
sub17987,47.0,M
sub18955,53.0,F
sub21350,61.0,F
sub23607,48.0,F
sub24237,52.0,F
sub28782,64.0,F
sub30157,54.0,M
sub36386,57.0,M
sub39259,53.0,F
sub44912,49.0,F
sub45852,63.0,F
sub46312,51.0,F
sub49975,46.0,M
sub50771,53.0,F
sub51182,57.0,M
sub53971,47.0,F
sub55176,63.0,F
sub56084,53.0,M
sub56108,51.0,F
sub56333,53.0,M
sub56582,57.0,F
sub58677,46.0,F
sub58967,61.0,F
sub59359,51.0,F
sub61779,56.0,F
sub63196,49.0,F
sub64463,52.0,M
sub67948,48.0,M
sub73547,55.0,F
sub75919,50.0,F
sub76042,58.0,F
sub76378,52.0,F
sub77073,52.0,F
sub84314,58.0,M
sub87784,58.0,M
sub87910,47.0,M
sub91468,44.0,M
sub93170,65.0,F
sub98971,63.0,F
sub99479,65.0,F
sub09035,70.0,M
sub26223,65.0,M
sub26670,64.0,M
sub28697,73.0,F
sub28902,65.0,M
sub31272,74.0,M
sub36052,63.0,F
sub50162,73.0,M
sub64202,67.0,F
sub66933,72.0,M
sub70942,70.0,M
sub72095,71.0,F
sub74607,65.0,M
sub81737,67.0,F
sub96591,73.0,M
sub96752,63.0,F
sub13411,23.0,M
sub32580,26.0,F
sub36023,21.0,M
sub41006,22.0,M
sub43517,22.0,F
sub49705,24.0,F
sub53422,24.0,M
sub54933,26.0,F
sub55760,24.0,M
sub58526,25.0,F
sub59397,24.0,F
sub59799,22.0,F
sub62985,25.0,F
sub71042,21.0,F
sub71743,22.0,M
sub76647,23.0,F
sub78225,22.0,M
sub86204,23.0,M
sub05669,38.0,F
sub06021,45.0,M
sub27813,20.0,M
sub28470,46.0,F
sub31331,19.0,F
sub32574,32.0,M
sub62019,21.0,F
sub67196,34.0,M
sub67450,22.0,F
sub72729,21.0,F
sub75883,22.0,F
sub78118,43.0,F
sub83453,22.0,F
sub84858,24.0,F
sub85778,27.0,F
sub88220,40.0,M
sub89853,40.0,M
sub93351,21.0,F
sub94368,18.0,M
sub97881,40.0,M
sub01077,21.0,F
sub01241,21.0,F
sub01261,20.0,M
sub01679,22.0,M
sub02036,22.0,F
sub05081,21.0,M
sub06307,21.0,M
sub07552,22.0,F
sub07946,22.0,F
sub10958,21.0,F
sub12060,22.0,F
sub12126,22.0,F
sub12152,21.0,M
sub12379,22.0,F
sub14473,21.0,F
sub15128,20.0,F
sub15422,21.0,F
sub15497,22.0,F
sub16378,21.0,M
sub18356,21.0,M
sub19159,21.0,F
sub19971,22.0,F
sub20495,22.0,F
sub20926,21.0,M
sub21499,22.0,F
sub22180,22.0,M
sub23392,22.0,F
sub24781,22.0,F
sub25331,22.0,F
sub26554,22.0,M
sub27274,21.0,M
sub27392,22.0,F
sub29793,22.0,F
sub32052,22.0,F
sub32596,22.0,M
sub33176,22.0,F
sub35020,21.0,M
sub35232,21.0,M
